modelo_celular,maior_preco,menor_preco,data_anuncio,destino_do_link,link_anuncio,timestamp
"iPhone 11 Pro Apple com 256GB, Tela Retina HD de 5,8”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Dourado","R$ 7.253,07","R$ 7.253,07", Mai/2020,www.casasbahia-imagens.com.br,https://produto.casasbahia.com.br/50004436?utm_source=jacotei&utm_medium=comparadorpreco&utm_content=50004436&cm_mmc=jacotei_XML-_-TELE-_-Comparador-_-50004436,Thu May 21 23:18:32 2020
"iPhone 11 Pro Apple com 256GB, Tela Retina HD de 5,8”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Prateado","R$ 7.253,07","R$ 7.253,07", Mai/2020,www.pontofrio-imagens.com.br,https://produto.pontofrio.com.br/50004435?utm_source=jacotei&utm_medium=comparadorpreco&utm_content=50004435&cm_mmc=jacotei_XML-_-TELE-_-Comparador-_-50004435,Thu May 21 23:18:32 2020
"iPhone 11 Pro Apple com 256GB, Tela Retina HD de 5,8”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Prateado","R$ 7.253,07","R$ 7.253,07", Mai/2020,www.extra-imagens.com.br,https://produto.extra.com.br/50004435?utm_source=jacotei&utm_medium=comparadorpreco&utm_content=50004435&cm_mmc=jacotei_XML-_-TELE-_-Comparador-_-50004435,Thu May 21 23:18:32 2020
"iPhone 11 Pro Apple com 256GB, Tela Retina HD de 5,8”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Verde Meia-Noite","R$ 7.253,07","R$ 7.253,07", Mai/2020,www.pontofrio-imagens.com.br,https://produto.pontofrio.com.br/50004437?utm_source=jacotei&utm_medium=comparadorpreco&utm_content=50004437&cm_mmc=jacotei_XML-_-TELE-_-Comparador-_-50004437,Thu May 21 23:18:32 2020
"iPhone 11 Pro Apple com 256GB, Tela Retina HD de 5,8”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Dourado","R$ 7.253,07","R$ 7.253,07", Abr/2020,www.pontofrio-imagens.com.br,https://produto.pontofrio.com.br/50004436?utm_source=jacotei&utm_medium=comparadorpreco&utm_content=50004436&cm_mmc=jacotei_XML-_-TELE-_-Comparador-_-50004436,Thu May 21 23:18:32 2020
"iPhone 11 Pro Apple com 256GB, Tela Retina HD de 5,8”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Cinza-Espacial","R$ 7.253,07","R$ 7.253,07", Mai/2020,www.extra-imagens.com.br,https://produto.extra.com.br/50004434?utm_source=jacotei&utm_medium=comparadorpreco&utm_content=50004434&cm_mmc=jacotei_XML-_-TELE-_-Comparador-_-50004434,Thu May 21 23:18:32 2020
"iPhone 11 Pro Apple com 256GB, Tela Retina HD de 5,8”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Verde Meia-Noite","R$ 7.253,07","R$ 7.253,07", Mai/2020,www.casasbahia-imagens.com.br,https://produto.casasbahia.com.br/50004437?utm_source=jacotei&utm_medium=comparadorpreco&utm_content=50004437&cm_mmc=jacotei_XML-_-TELE-_-Comparador-_-50004437,Thu May 21 23:18:32 2020
"iPhone 11 Pro Apple com 256GB, Tela Retina HD de 5,8”, iOS 13, Tripla Câmera Traseira, Resistente à Água e Bateria de Longa Duração - Cinza-Espacial","R$ 7.253,07","R$ 7.253,07", Abr/2020,www.casasbahia-imagens.com.br,https://produto.casasbahia.com.br/50004434?utm_source=jacotei&utm_medium=comparadorpreco&utm_content=50004434&cm_mmc=jacotei_XML-_-TELE-_-Comparador-_-50004434,Thu May 21 23:18:32 2020
Smartphone Samsung Galaxy S20 Ultra SM-G988B Desbloqueado Dual Chip 128GB Android 10 Cinza,"R$ 8.499,00","R$ 7.199,10", Mar/2020,jacotei.com.br,https://www.jacotei.com.br/smartphone-samsung-galaxy-s20-ultra-sm-g988b-desbloqueado-dual-chip-128gb-android-10-cinza/p,Thu May 21 23:18:32 2020
"iPhone XS Max Apple com 64GB, Tela Super Retina HD de 6,5”, iOS 12, Dupla Câmera Traseira, Resistente à Água e Reconhecimento Facial - Prateado","R$ 7.138,98","R$ 7.138,98", Fev/2020,www.extra-imagens.com.br,https://produto.extra.com.br/13950646?utm_source=jacotei&utm_medium=comparadorpreco&utm_content=13950646&cm_mmc=jacotei_XML-_-TELE-_-Comparador-_-13950646,Thu May 21 23:18:32 2020
